销售日期	扫码销售时间	单品编码	销量(千克)	销售单价(元/千克)	销售类型	是否打折销售
2020-07-01	09:15:07.924	102900005117056	0.396 	7.60 	销售	否
2020-07-01	09:17:27.295	102900005115960	0.849 	3.20 	销售	否
2020-07-01	09:17:33.905	102900005117056	0.409 	7.60 	销售	否
2020-07-01	09:19:45.450	102900005115823	0.421 	10.00 	销售	否
2020-07-01	09:20:23.686	102900005115908	0.539 	8.00 	销售	否
2020-07-01	09:21:55.556	102900005117056	0.277 	7.60 	销售	否
2020-07-01	09:21:56.536	102900005115779	0.338 	8.00 	销售	否
2020-07-01	09:22:01.274	102900005117056	0.132 	7.60 	销售	否
2020-07-01	09:22:01.476	102900005115779	0.213 	8.00 	销售	否
2020-07-01	09:22:15.998	102900011008522	0.514 	8.00 	销售	否
2020-07-01	09:22:21.264	102900005118824	0.251 	10.00 	销售	否
2020-07-01	09:24:21.833	102900005115984	0.251 	6.00 	销售	否
2020-07-01	09:24:21.905	102900005116530	0.217 	18.00 	销售	否
2020-07-01	09:24:57.873	102900005115984	0.468 	6.00 	销售	否
2020-07-01	09:25:31.342	102900005116226	0.589 	8.00 	销售	否
2020-07-01	09:25:45.811	102900005118824	0.711 	10.00 	销售	否
2020-07-01	09:26:04.530	102900005115779	1.003 	8.00 	销售	否
2020-07-01	09:28:01.983	102900005116530	0.095 	18.00 	销售	否
2020-07-01	09:30:17.045	102900005116233	0.150 	10.00 	销售	否
2020-07-01	09:30:26.948	102900005115984	0.502 	6.00 	销售	否
2020-07-01	09:31:42.483	102900005115984	0.452 	6.00 	销售	否
2020-07-01	09:32:25.623	102900005115908	0.501 	8.00 	销售	否
2020-07-01	09:32:59.701	102900005115779	0.201 	8.00 	销售	否
2020-07-01	09:33:08.981	102900005115779	0.439 	8.00 	销售	否
2020-07-01	09:33:09.579	102900005115762	0.686 	6.00 	销售	否
2020-07-01	09:33:09.998	102900005116714	0.329 	14.00 	销售	否
2020-07-01	09:35:02.477	102900005115908	0.251 	8.00 	销售	否
2020-07-01	09:35:02.557	102900005118817	0.243 	14.00 	销售	否
2020-07-01	09:35:13.164	102900005116530	0.256 	18.00 	销售	否
2020-07-01	09:35:40.456	102900005115984	0.318 	6.00 	销售	否
2020-07-01	09:36:36.108	102900011009970	0.445 	9.00 	销售	否
2020-07-01	09:36:41.217	102900005115779	0.363 	8.00 	销售	否
2020-07-01	09:36:42.447	102900005117209	0.482 	16.00 	销售	否
2020-07-01	09:36:43.131	102900011001219	0.343 	14.00 	销售	否
2020-07-01	09:38:48.342	102900005115984	0.502 	6.00 	销售	否
2020-07-01	09:39:03.622	102900005115779	0.301 	8.00 	销售	否
2020-07-01	09:41:09.342	102900005117056	0.198 	7.60 	销售	否
2020-07-01	09:41:22.206	102900051004294	0.172 	14.00 	销售	否
2020-07-01	09:41:22.701	102900005117056	0.660 	7.60 	销售	否
2020-07-01	09:41:37.873	102900005115984	0.753 	6.00 	销售	否
2020-07-01	09:41:50.626	102900005115984	0.552 	6.00 	销售	否
2020-07-01	09:41:50.904	102900051004294	0.057 	14.00 	销售	否
2020-07-01	09:43:10.108	102900005115960	1.101 	3.20 	销售	否
2020-07-01	09:44:13.951	102900005116547	0.435 	6.00 	销售	否
2020-07-01	09:44:30.811	102900005115984	0.201 	6.00 	销售	否
2020-07-01	09:44:54.358	102900005116547	0.452 	6.00 	销售	否
2020-07-01	09:46:00.552	102900005115984	0.385 	6.00 	销售	否
2020-07-01	09:46:00.634	102900005116714	0.522 	14.00 	销售	否
2020-07-01	09:46:32.585	102900005115984	0.435 	6.00 	销售	否
2020-07-01	09:46:33.204	102900051000944	0.545 	39.80 	销售	否
2020-07-01	09:46:43.139	102900011009970	0.368 	9.00 	销售	否
2020-07-01	09:46:45.326	102900005115908	0.313 	8.00 	销售	否
2020-07-01	09:47:03.686	102900005115779	0.276 	8.00 	销售	否
2020-07-01	09:51:17.170	102900005116547	0.217 	6.00 	销售	否
2020-07-01	09:51:24.696	102900005116714	0.236 	14.00 	销售	否
2020-07-01	09:51:58.076	102900011008522	0.451 	8.00 	销售	否
2020-07-01	09:52:14.936	102900005116530	0.184 	18.00 	销售	否
2020-07-01	09:53:40.584	102900005115984	0.418 	6.00 	销售	否
2020-07-01	09:54:49.759	102900005115984	0.502 	6.00 	销售	否
2020-07-01	09:55:59.202	102900005116547	0.468 	6.00 	销售	否
2020-07-01	09:55:59.529	102900005119975	0.234 	6.00 	销售	否
2020-07-01	09:56:02.826	102900005125815	0.301 	10.00 	销售	否
2020-07-01	09:57:10.112	102900005115786	0.786 	6.00 	销售	否
2020-07-01	09:57:39.561	102900011009970	0.401 	9.00 	销售	否
2020-07-01	09:57:59.405	102900005115960	0.629 	3.20 	销售	否
2020-07-01	09:59:59.498	102900011009970	0.457 	9.00 	销售	否
2020-07-01	10:00:17.089	102900005116714	0.401 	14.00 	销售	否
2020-07-01	10:00:17.255	102900005117056	0.554 	7.60 	销售	否
2020-07-01	10:00:17.421	102900051010455	0.969 	9.00 	销售	否
2020-07-01	10:00:31.623	102900005119975	0.468 	6.00 	销售	否
2020-07-01	10:00:36.217	102900005117056	0.145 	7.60 	销售	否
2020-07-01	10:00:55.467	102900005115779	0.251 	8.00 	销售	否
2020-07-01	10:01:04.530	102900005116509	0.829 	4.00 	销售	否
2020-07-01	10:02:18.931	102900005117056	0.581 	7.60 	销售	否
2020-07-01	10:02:47.115	102900005116509	0.402 	4.00 	销售	否
2020-07-01	10:02:47.263	102900005115762	0.702 	6.00 	销售	否
2020-07-01	10:02:47.478	102900051010455	0.768 	9.00 	销售	否
2020-07-01	10:03:18.592	102900005119975	0.234 	6.00 	销售	否
2020-07-01	10:04:14.905	102900005115984	0.769 	6.00 	销售	否
2020-07-01	10:04:32.326	102900005116714	0.329 	14.00 	销售	否
2020-07-01	10:06:39.995	102900005115984	0.585 	6.00 	销售	否
2020-07-01	10:07:09.210	102900005116509	0.402 	4.00 	销售	否
2020-07-01	10:08:03.203	102900005115762	0.636 	6.00 	销售	否
2020-07-01	10:09:18.087	102900005116530	0.095 	18.00 	销售	否
2020-07-01	10:09:28.185	102900005115779	0.426 	8.00 	销售	否
2020-07-01	10:09:28.663	102900005116509	0.427 	4.00 	销售	否
2020-07-01	10:10:33.190	102900005115984	0.636 	6.00 	销售	否
2020-07-01	10:11:13.217	102900005116530	0.312 	18.00 	销售	否
2020-07-01	10:11:35.951	102900051004294	0.372 	14.00 	销售	否
2020-07-01	10:11:36.576	102900005117056	0.515 	7.60 	销售	否
2020-07-01	10:11:42.576	102900005116943	0.339 	18.00 	销售	否
2020-07-01	10:11:43.764	102900005115960	1.321 	3.20 	销售	否
2020-07-01	10:12:17.628	102900005116714	0.386 	14.00 	销售	否
2020-07-01	10:12:18.196	102900005116257	0.585 	6.00 	销售	否
2020-07-01	10:12:32.281	102900005125808	0.182 	25.80 	销售	否
2020-07-01	10:13:08.905	102900005115779	0.476 	8.00 	销售	否
2020-07-01	10:13:25.034	102900005125808	0.058 	25.80 	销售	否
2020-07-01	10:13:39.264	102900005125815	0.200 	10.00 	销售	否
2020-07-01	10:14:44.982	102900005115779	0.338 	8.00 	销售	否
2020-07-01	10:14:59.001	102900011009970	0.523 	9.00 	销售	否
2020-07-01	10:14:59.407	102900005125815	0.261 	10.00 	销售	否
2020-07-01	10:15:47.811	102900005116943	0.072 	18.00 	销售	否
2020-07-01	10:16:23.086	102900005115960	1.132 	3.20 	销售	否
2020-07-01	10:16:23.249	102900005117056	0.369 	7.60 	销售	否
2020-07-01	10:16:23.655	102900005125815	0.220 	10.00 	销售	否
2020-07-01	10:16:55.494	102900005115779	0.276 	8.00 	销售	否
2020-07-01	10:16:55.575	102900005116714	0.393 	14.00 	销售	否
2020-07-01	10:17:25.248	102900005115779	0.326 	8.00 	销售	否
2020-07-01	10:17:37.463	102900005115779	0.363 	8.00 	销售	否
2020-07-01	10:17:37.686	102900005115984	0.217 	6.00 	销售	否
2020-07-01	10:17:37.902	102900005125808	0.147 	25.80 	销售	否
2020-07-01	10:18:24.919	102900005115984	0.686 	6.00 	销售	否
2020-07-01	10:18:31.050	102900005115984	0.401 	6.00 	销售	否
2020-07-01	10:18:31.966	102900005117056	0.515 	7.60 	销售	否
2020-07-01	10:18:37.200	102900005116547	0.318 	6.00 	销售	否
2020-07-01	10:20:00.067	102900005116547	0.401 	6.00 	销售	否
2020-07-01	10:20:38.736	102900005115823	0.241 	10.00 	销售	否
2020-07-01	10:20:39.998	102900005116714	0.393 	14.00 	销售	否
2020-07-01	10:20:44.936	102900005115779	0.464 	8.00 	销售	否
2020-07-01	10:22:09.186	102900005115762	0.485 	6.00 	销售	否
2020-07-01	10:22:16.811	102900005116547	0.502 	6.00 	销售	否
2020-07-01	10:22:46.756	102900005115779	0.238 	8.00 	销售	否
2020-07-01	10:22:56.391	102900005115960	0.598 	3.20 	销售	否
2020-07-01	10:22:56.639	102900005115960	0.943 	3.20 	销售	否
2020-07-01	10:22:57.280	102900005115984	0.368 	6.00 	销售	否
2020-07-01	10:23:00.030	102900005116547	0.334 	6.00 	销售	否
2020-07-01	10:23:02.217	102900005115960	0.943 	3.20 	销售	否
2020-07-01	10:24:30.335	102900011009970	0.613 	9.00 	销售	否
2020-07-01	10:24:30.416	102900005117056	0.449 	7.60 	销售	否
2020-07-01	10:25:20.774	102900005115779	0.551 	8.00 	销售	否
2020-07-01	10:25:20.963	102900005125808	0.159 	25.80 	销售	否
2020-07-01	10:25:21.036	102900005116233	0.190 	10.00 	销售	否
2020-07-01	10:25:21.460	102900005117056	0.330 	7.60 	销售	否
2020-07-01	10:27:16.124	102900005116530	0.239 	18.00 	销售	否
2020-07-01	10:27:21.491	102900005115984	0.535 	6.00 	销售	否
2020-07-01	10:27:42.965	102900005115984	0.217 	6.00 	销售	否
2020-07-01	10:27:59.280	102900005115823	0.661 	10.00 	销售	否
2020-07-01	10:29:33.595	102900005116714	0.329 	14.00 	销售	否
2020-07-01	10:30:39.480	102900005115779	0.263 	8.00 	销售	否
2020-07-01	10:32:02.757	102900005116257	0.719 	6.00 	销售	否
2020-07-01	10:32:02.840	102900005115786	0.452 	6.00 	销售	否
2020-07-01	10:32:24.393	102900005116547	0.502 	6.00 	销售	否
2020-07-01	10:32:52.257	102900005125808	0.120 	25.80 	销售	否
2020-07-01	10:32:52.420	102900005116530	0.212 	18.00 	销售	否
2020-07-01	10:32:52.501	102900005115823	0.491 	10.00 	销售	否
2020-07-01	10:32:56.686	102900005115762	0.619 	6.00 	销售	否
2020-07-01	10:32:59.858	102900005115779	0.489 	8.00 	销售	否
2020-07-01	10:33:30.967	102900005117056	0.238 	7.60 	销售	否
2020-07-01	10:33:45.248	102900005116257	0.652 	6.00 	销售	否
2020-07-01	10:34:41.920	102900005116547	0.452 	6.00 	销售	否
2020-07-01	10:35:01.628	102900005115779	0.576 	8.00 	销售	否
2020-07-01	10:36:10.389	102900005116943	0.784 	18.00 	销售	否
2020-07-01	10:36:45.014	102900011008522	0.714 	8.00 	销售	否
2020-07-01	10:39:15.405	102900005125808	0.089 	25.80 	销售	否
2020-07-01	10:39:23.623	102900005116233	0.210 	10.00 	销售	否
2020-07-01	10:39:30.405	102900005116714	0.444 	14.00 	销售	否
2020-07-01	10:39:39.030	102900005125808	0.031 	25.80 	销售	否
2020-07-01	10:39:46.217	102900005116530	0.223 	18.00 	销售	否
2020-07-01	10:39:54.326	102900005115823	0.210 	10.00 	销售	否
2020-07-01	10:40:08.936	102900005119944	0.238 	16.00 	销售	否
2020-07-01	10:40:51.258	102900005115984	0.401 	6.00 	销售	否
2020-07-01	10:40:51.415	102900011009970	0.379 	9.00 	销售	否
2020-07-01	10:41:54.750	102900005116714	0.429 	14.00 	销售	否
2020-07-01	10:42:40.748	102900005116714	0.429 	14.00 	销售	否
2020-07-01	10:44:15.357	102900005117056	0.277 	7.60 	销售	否
2020-07-01	10:44:15.855	102900005116509	0.251 	4.00 	销售	否
2020-07-01	10:44:16.021	102900005116233	0.160 	10.00 	销售	否
2020-07-01	10:44:45.405	102900005116714	0.436 	14.00 	销售	否
2020-07-01	10:45:09.547	102900005115762	0.602 	6.00 	销售	否
2020-07-01	10:45:14.601	102900005116714	0.823 	14.00 	销售	否
2020-07-01	10:45:14.681	102900005115823	0.301 	10.00 	销售	否
2020-07-01	10:45:14.983	102900011008522	0.815 	8.00 	销售	否
2020-07-01	10:45:15.066	102900051010455	0.846 	9.00 	销售	否
2020-07-01	10:45:15.146	102900005118817	0.594 	14.00 	销售	否
2020-07-01	10:45:31.342	102900011009970	0.412 	9.00 	销售	否
2020-07-01	10:46:13.264	102900005115984	0.452 	6.00 	销售	否
