编号    用户名    支持金额    份数    日期    时刻
﻿1    晓行残灯    ¥132    1    2013-10-31    20:59:07
2    绿风    ¥198    1    2013-11-04    20:12:40
3    goodman    ¥68    1    2013-11-08    10:17:47
4    泽瀚    ¥198    1    2013-11-12    10:53:56
5    淡淡的淡定    ¥132    1    2013-11-13    13:43:40
6    淡淡的淡定    ¥132    1    2013-11-13    13:45:23
7    淡淡的淡定    ¥198    1    2013-11-13    13:50:59
8    淡淡的淡定    ¥198    1    2013-11-13    13:52:27
9    weibocby2118    ¥198    1    2013-11-14    13:58:53
10    weibocby2118    ¥198    1    2013-11-14    14:00:34
11    gh143929    ¥198    1    2013-11-14    14:03:55
12    gh143929    ¥198    1    2013-11-14    14:05:54
13    简单-@-牛牛    ¥198    1    2013-11-14    16:16:08
14    简单-@-牛牛    ¥198    1    2013-11-14    16:18:52
15    简单-@-牛牛    ¥198    1    2013-11-14    16:20:54
16    简单-@-牛牛    ¥198    1    2013-11-14    16:22:36
17    Judey    ¥198    1    2013-11-14    20:52:12
18    Judey    ¥198    1    2013-11-14    20:56:40
19    静香    ¥198    1    2013-11-14    21:21:35
20    静香    ¥198    1    2013-11-14    21:24:11
21    勇敢说NO    ¥198    1    2013-11-14    22:55:35
22    勇敢说NO    ¥198    1    2013-11-14    23:00:37
23    wtf739485261    ¥198    1    2013-11-15    10:57:12
24    wtf739485261    ¥198    1    2013-11-15    11:00:14
25    wtf739485261    ¥198    1    2013-11-15    11:16:32
26    wtf739485261    ¥198    1    2013-11-15    11:18:56
27    油菜花开    ¥132    1    2013-11-15    13:41:51
28    油菜花开    ¥132    1    2013-11-15    13:47:07
29    油菜花开    ¥132    1    2013-11-15    13:49:48
30    油菜花开    ¥132    1    2013-11-15    13:52:30
31    Eason Wang    ¥132    1    2013-11-16    13:27:20
32    Eason Wang    ¥132    1    2013-11-16    13:42:40
33    Eason Wang    ¥132    1    2013-11-16    14:03:30
34    Eason Wang    ¥132    1    2013-11-16    14:05:48
35    huang_guang    ¥198    1    2013-11-16    22:12:58
36    孝驰    ¥198    1    2013-11-16    22:27:40
37    孝驰    ¥198    1    2013-11-16    22:31:20
38    yucheungho    ¥198    1    2013-11-16    23:17:52
39    李子158    ¥132    1    2013-11-17    09:48:15
40    李子158    ¥132    1    2013-11-17    09:50:12
41    旻君_Susannah    ¥198    1    2013-11-17    14:06:10
42    旻君_Susannah    ¥198    1    2013-11-17    14:07:12
43    neverlove175    ¥198    1    2013-11-19    11:23:51
44    neverlove175    ¥198    1    2013-11-19    11:28:47
45    cwlbusiness    ¥68    1    2013-11-19    12:40:53
46    gigi0801    ¥198    1    2013-11-20    11:02:22
47    Cocoyan    ¥198    1    2013-11-20    11:21:17
48    繁华落尽    ¥198    1    2013-11-20    11:44:22
49    179696739    ¥198    1    2013-11-20    11:44:32
50    zyj910    ¥198    1    2013-11-20    12:22:01
51    可乐    ¥198    1    2013-11-20    12:36:37
52    可乐    ¥198    1    2013-11-20    12:37:51
53    可乐    ¥198    1    2013-11-20    12:38:58
54    可乐    ¥198    1    2013-11-20    12:40:08
55    可乐    ¥198    1    2013-11-20    12:42:10
56    bluegray07    ¥198    1    2013-11-20    13:25:41
57    bluegray07    ¥198    1    2013-11-20    13:26:25
58    Sense-禾木刀公    ¥198    1    2013-11-20    13:28:33
59    717518165    ¥198    1    2013-11-20    14:01:49
60    wangjing_273085101    ¥198    1    2013-11-20    14:05:31
61    夏天的哥哥    ¥198    1    2013-11-20    16:05:53
62    夏天的哥哥    ¥198    1    2013-11-20    16:07:42
63    夏天的哥哥    ¥198    1    2013-11-20    16:09:36
64    xurengan2452    ¥198    1    2013-11-20    16:48:39
65    寂寞苍华    ¥198    1    2013-11-20    16:52:43
66    xxxxxxx555500000    ¥68    1    2013-11-22    11:09:03
